00,-99.029984,000
01,-98.321190,002
02,-97.774857,004
03,-98.687859,000
04,-98.314240,003
05,-98.380577,002
06,-98.819405,001
07,-98.998779,000
08,-98.990562,000
09,-98.367447,002
10,-99.029327,000
11,-99.299522,000
12,-98.886368,000
13,-98.481201,001
14,-98.289108,002
15,-98.118233,002
16,-98.241692,002
17,-98.664886,001
18,-99.089363,000
19,-98.758934,001
20,-98.978149,000
21,-97.738663,002
22,-98.099174,002
23,-99.032082,000
24,-97.910110,002
25,-98.284454,001
26,-98.740417,000
27,-97.431656,001
28,-97.998756,000
29,-97.363968,001
30,-97.565086,000
31,-97.441231,001
32,-97.856064,000
33,-97.922714,000
34,-97.696426,000
35,-97.105431,001
36,-97.494095,000
37,-97.396729,001
38,-96.867813,001
39,-97.151474,001
40,-97.084061,001
41,-95.740738,006
42,-97.020370,001
43,-96.997314,002
44,-95.616714,007
45,-97.589790,000
46,-96.731796,001
47,-96.541496,002
48,-97.130913,001
49,-96.895782,000
50,-97.090157,000
51,-96.879028,001
52,-96.978500,000
53,-96.025116,002
54,-92.920036,000
55,-95.815033,001
56,-96.944092,000
57,-96.608002,001
58,-96.980934,000
59,-96.808327,000
60,-96.393188,001
61,-96.386711,000
62,-95.289146,004
63,-96.481232,000
64,-96.370605,001
65,-96.804268,000
66,-96.705833,000
67,-96.690826,000
68,-96.345650,000
69,-95.072578,005
70,-96.035988,001
71,-96.919189,000
72,-96.310089,000
73,-95.541161,003
74,-96.701721,000
75,-95.441475,003
76,-96.606766,000
77,-95.137787,004
78,-95.788353,002
79,-96.555595,001
80,-96.441956,000
81,-96.487236,000
82,-95.359306,002
83,-95.711235,002
84,-95.837204,001
85,-95.848778,002
86,-94.854385,003
87,-96.254753,000
88,-95.395416,001
89,-93.416649,008
90,-92.897102,009
